Command, Description
"mathbb{R}",     "⊆"
"mathbb{z}",     "ℝ"
"mathbb{n}",     "ℕ"
"subset",        "⊂"
"subseteq",      "⊆"
"supset",        "⊃"
"in",            "∈"
"cap",           "∩"
"cup",           "∪"
"mid",           "∣"
"notin",         "∉"
"eq",            "="
"neq",           "≠"
"sim",           "∼"
"simeq",         "≃"
"approx",        "≈"
"fallingdotseq", "≒"
"risingdotseq",  "≓"
"equiv",         "≡"
"geq",           "≥"
"geqq",          "≧"
"leq",           "≤"
"leqq",          "≦"
"gg",            "≫"
"ll",            "≪"
"oplus",         "⊕"
"cdot",          "⋅"
"bot",           "⊥"
"sum",           "∑"
"prod",          "∏"
"int",           "∫"
"forall",        "∀"
"exists",        "∃"
"leftarrow",     "←"
"rightarrow",    "→"
"Leftarrow",     "⇐"
"Rightarrow",    "⇒"
"Leftrightarrow","⇔"
"theta",         "θ"
"phi",           "ϕ"
"psi",           "ψ"
"Omega",         "Ω"
"partial",       "∂"
"xi",            "ξ"
"delta",         "δ"
"gamma",         "γ"
"bullet",        "∙"
"quad", "1文字分のスペース"
"qquad", "2文字分のスペース"
"mathbf", "太字(ベクトル等)"
"mathcal", "筆記体"
"mathbb", "黒板太字(集合)"
